     x,     OMP,    TBB,    TF
    16,       6,      0,     3 
   400,   164.4,      3,   8.2 
  1296,   524.6,     10,   7.8 
  2704,  1096.6,     31,     9 
  4624,    1888,     65,  12.4 
  7056,  2865.4,  109.8,  17.4 
 10000,  4064.6,    161,  19.8 
 13456,  5478.6,  221.6,  28.6 
 17424,  7056.6,    290,  34.2 
 21904,  8854.2,  370.6,    41  
 26896, 10895.2,  459.8,  47.6  
 32400, 13181.4,  555.2,  51.2  
 38416, 15594.4,  658.8,  74.8  
 44944,   18154,  776.6,  83.4  
 51984, 20973.6,  901.8,  69.2  
 59536,   24324, 1024.4,  75.6  
 67600, 27525.2, 1174.4,   113  
 76176,   31079,   1314,    98 
 85264,   34892, 1478.6, 104.6 
 94864, 38747.4, 1642.2, 109.4  
104976, 42566.6, 1828.2, 130.8 
115600, 47076.2, 2000.6, 140.2 
126736, 51437.8, 2190.8, 155.6  
138384, 56198.2, 2385.8, 182.6 
150544, 61227.2,   2618, 189.2 
163216,   65988,   2814, 206.4 
176400, 71191.8, 3052.4, 226.4  
190096,   77105,   3298, 256.8  
204304, 83249.2, 3504.6, 315.4  
219024, 88512.2,   3786,   341 
234256, 94883.6, 4092.6, 362.4 
250000,  101325,   4322, 385.4 
